x,y
0,50.0
1,45.03
2,40.12
3,35.269999999999996
4,30.48
5,25.75
6,21.08
7,16.47
8,11.920000000000002
9,7.43
10,3.0
11,-1.3699999999999974
12,-5.68
13,-9.93
14,-14.120000000000005
15,-18.25
16,-22.319999999999993
17,-26.33
18,-30.28
19,-34.17
20,-38.0
21,-41.769999999999996
22,-45.480000000000004
23,-49.129999999999995
24,-52.72
25,-56.25
26,-59.72
27,-63.129999999999995
28,-66.48
29,-69.77
30,-73.0
31,-76.17
32,-79.28
33,-82.32999999999998
34,-85.32
35,-88.25
36,-91.12
37,-93.93
38,-96.68
39,-99.37
40,-102.0
41,-104.57
42,-107.08000000000001
43,-109.53
44,-111.92000000000002
45,-114.25
46,-116.52000000000001
47,-118.73000000000002
48,-120.88
49,-122.97
50,-125.0
51,-126.97
52,-128.88
53,-130.73000000000002
54,-132.52
55,-134.25
56,-135.92000000000002
57,-137.53
58,-139.07999999999998
59,-140.57
60,-142.0
61,-143.37
62,-144.68
63,-145.93
64,-147.12
65,-148.25
66,-149.32
67,-150.33
68,-151.28
69,-152.17000000000002
70,-153.0
71,-153.77
72,-154.48000000000002
73,-155.13
74,-155.72
75,-156.25
76,-156.72
77,-157.13
78,-157.48000000000002
79,-157.77
80,-158.0
81,-158.17000000000002
82,-158.28
83,-158.33
84,-158.32000000000002
85,-158.25
86,-158.12
87,-157.93
88,-157.68
89,-157.37
90,-157.0
91,-156.57000000000002
92,-156.08
93,-155.53000000000003
94,-154.92000000000002
95,-154.25
96,-153.51999999999998
97,-152.73000000000002
98,-151.88
99,-150.97000000000003
100,-150.0
101,-148.97000000000003
102,-147.88
103,-146.73000000000002
104,-145.52000000000004
105,-144.25
106,-142.92000000000002
107,-141.53000000000003
108,-140.08000000000004
109,-138.57
110,-137.0
111,-135.37
112,-133.68
113,-131.93
114,-130.12
115,-128.25
116,-126.32
117,-124.33000000000004
118,-122.28000000000003
119,-120.17000000000002
120,-118.0
121,-115.77000000000004
122,-113.48000000000002
123,-111.13
124,-108.72000000000003
125,-106.25
126,-103.72000000000003
127,-101.13
128,-98.48000000000002
129,-95.77000000000004
130,-93.0
131,-90.17000000000007
132,-87.27999999999997
133,-84.33000000000004
134,-81.32000000000005
135,-78.25
136,-75.12
137,-71.93000000000006
138,-68.68000000000006
139,-65.37
140,-62.0
141,-58.57000000000005
142,-55.08000000000004
143,-51.52999999999997
144,-47.92000000000007
145,-44.25
146,-40.51999999999998
147,-36.73000000000002
148,-32.879999999999995
149,-28.970000000000027
150,-25.0
151,-20.970000000000027
152,-16.879999999999995
153,-12.730000000000018
154,-8.519999999999982
155,-4.25
156,0.07999999999992724
157,4.470000000000027
158,8.919999999999959
159,13.42999999999995
160,18.0
161,22.629999999999995
162,27.319999999999936
163,32.069999999999936
164,36.879999999999995
165,41.75
166,46.67999999999995
167,51.66999999999996
168,56.719999999999914
169,61.82999999999993
170,67.0
171,72.23000000000002
172,77.51999999999998
173,82.87
174,88.27999999999997
175,93.75
176,99.27999999999997
177,104.87
178,110.51999999999998
179,116.23000000000002
180,122.0
181,127.82999999999993
182,133.7199999999999
183,139.66999999999996
184,145.67999999999995
185,151.75
186,157.87999999999988
187,164.06999999999994
188,170.31999999999994
189,176.62999999999988
190,183.0
191,189.43000000000006
192,195.92000000000007
193,202.47000000000003
194,209.07999999999993
195,215.75
196,222.48000000000002
197,229.26999999999998
198,236.1199999999999
199,243.02999999999997
200,250.0
